service_id,date,exception_type
0000000032023091120240611,20240320,1
0000000032023091120240611,20240321,1
0000000032023091120240611,20240322,1
0000000032023091120240611,20240323,1
0000000032023091120240611,20240325,1
0000000032023091120240611,20240326,1
0000000032023091120240611,20240327,1
0000000032023091120240611,20240328,2
0000000032023091120240611,20240329,2
0000000032023091120240611,20240330,2
0000000032023091120240611,20240401,2
0000000032023091120240611,20240402,2
0000000032023091120240611,20240403,1
0000000032023091120240611,20240404,1
0000000032023091120240611,20240405,1
0000000032023091120240611,20240406,1
0000000032023091120240611,20240408,1
0000000032023091120240611,20240409,1
0000000032023091120240611,20240410,1
0000000032023091120240611,20240411,1
0000000032023091120240611,20240412,1
0000000032023091120240611,20240413,1
0000000032023091120240611,20240415,1
0000000032023091120240611,20240416,1
0000000032023091120240611,20240417,1
0000000032023091120240611,20240418,1
0000000032023091120240611,20240419,1
0000000032023091120240611,20240420,1
0000000032023091120240611,20240422,1
0000000032023091120240611,20240423,1
0000000032023091120240611,20240424,1
0000000032023091120240611,20240425,2
0000000032023091120240611,20240426,1
0000000032023091120240611,20240427,1
0000000032023091120240611,20240429,1
0000000032023091120240611,20240430,1
0000000032023091120240611,20240501,2
0000000032023091120240611,20240502,1
0000000032023091120240611,20240503,1
0000000032023091120240611,20240504,1
0000000032023091120240611,20240506,1
0000000032023091120240611,20240507,1
0000000032023091120240611,20240508,1
0000000032023091120240611,20240509,1
0000000032023091120240611,20240510,1
0000000032023091120240611,20240511,1
0000000032023091120240611,20240513,1
0000000032023091120240611,20240514,1
0000000032023091120240611,20240515,1
0000000032023091120240611,20240516,1
0000000032023091120240611,20240517,1
0000000032023091120240611,20240518,1
0000000032023091120240611,20240520,1
0000000032023091120240611,20240521,1
0000000032023091120240611,20240522,1
0000000032023091120240611,20240523,1
0000000032023091120240611,20240524,1
0000000032023091120240611,20240525,1
0000000032023091120240611,20240527,1
0000000032023091120240611,20240528,1
0000000032023091120240611,20240529,1
0000000032023091120240611,20240530,1
0000000032023091120240611,20240531,1
0000000032023091120240611,20240601,1
0000000032023091120240611,20240603,1
0000000032023091120240611,20240604,1
0000000032023091120240611,20240605,1
0000000032023091120240611,20240606,1
0000000032023091120240611,20240607,1
0000000032023091120240611,20240608,1
0000000032023091120240611,20240610,1
0000000032023091120240611,20240611,1
0000000052023091120240611,20231101,1
0000000052023091120240611,20231208,1
0000000052023091120240611,20231225,1
0000000052023091120240611,20231226,1
0000000052023091120240611,20240101,1
0000000052023091120240611,20240106,1
