route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
566,0000000622023061020230910,0003887602023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887612023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887622023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887632023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887642023061020230910,Piazzale Orsi Stazione Fs,1,D259_R5083c_sub2,1
566,0000000622023061020230910,0003887652023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887662023061020230910,Piazzale Orsi Stazione Fs,1,D259_R5083c_sub2,1
566,0000000622023061020230910,0003887672023061020230910,Via Magazol Viale Trento,1,D216_F5032a_Ritorno_sub1,1
566,0000000622023061020230910,0003887682023061020230910,Piazzale Orsi Stazione Fs,1,D259_R5083c_sub2,1
563,0000000592023061020230910,0003887782023061020230910,Via Della Cisterna,0,D257_R5081a_sub1,1
512,0000000592023061020230910,0003887792023061020230910,Cisterna Capolinea,1,D48_C5718b_sub2,2
512,0000000592023061020230910,0003887802023061020230910,Toldi,1,D46_C5716b_sub1,2
512,0000000592023061020230910,0003887812023061020230910,Moietto,1,D489_R5702c_sub2,2
512,0000000592023061020230910,0003887822023061020230910,Corso Rosmini Posta,1,D49_C5719b_sub1,2
512,0000000592023061020230910,0003887832023061020230910,Toldi,1,D46_C5716b_sub1,2
512,0000000592023061020230910,0003887842023061020230910,Cisterna Capolinea,1,D505_R5722a_sub1,2
512,0000000592023061020230910,0003887852023061020230910,Corso Rosmini Posta,1,D49_C5719b_sub1,2
512,0000000592023061020230910,0003887862023061020230910,Moietto,1,D489_R5702c_sub2,2
512,0000000822023061020230910,0003887872023061020230910,Toldi,1,D44_C5714b_sub1,2
512,0000000662023061020230910,0003887882023061020230910,Cisterna Capolinea,1,D48_C5718b_sub2,2
512,0000000592023061020230910,0003887892023061020230910,Corso Rosmini Posta,0,D490_R5703a_sub2,2
512,0000000592023061020230910,0003887902023061020230910,Campana Dei Caduti,0,D47_C5717b_sub2,2
512,0000000592023061020230910,0003887912023061020230910,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000592023061020230910,0003887922023061020230910,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592023061020230910,0003887932023061020230910,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592023061020230910,0003887942023061020230910,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000592023061020230910,0003887952023061020230910,Campana Dei Caduti,0,D49_C5719b_sub2,2
512,0000000592023061020230910,0003887962023061020230910,Campana Dei Caduti,0,D36_C5701b_sub2,2
512,0000000592023061020230910,0003887972023061020230910,Corso Bettini Liceo,0,D489_R5702c_sub1,2
512,0000000822023061020230910,0003887982023061020230910,Corso Rosmini Posta,0,D498_R5716a_sub1,2
512,0000000662023061020230910,0003887992023061020230910,Corso Rosmini Posta,0,D489_R5702c_sub1,2
594,0000000592023061020230910,0003888002023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888012023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888022023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888032023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888042023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888052023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888062023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888072023061020230910,Villa Lagarina Via Magrè,0,D458_R5509a_Andata_sub2,1
594,0000000592023061020230910,0003888082023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888092023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888102023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888112023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888122023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888132023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888142023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888152023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
594,0000000592023061020230910,0003888162023061020230910,Corso Verona Ospedale,1,D461_R5514a_Ritorno_PRINCIPALE_sub2,1
580,0000000592023061020230910,0003888182023061020230910,Piazzale S.Giorgio Ovest,0,D480_R5647b_Andata_sub1,1
580,0000000592023061020230910,0003888192023061020230910,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888202023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888212023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888222023061020230910,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888232023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888242023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888252023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888262023061020230910,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888272023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888282023061020230910,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888292023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592023061020230910,0003888302023061020230910,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000822023061020230910,0003888312023061020230910,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
