Descr.breve:;;A;
Descr.lunga:;;P.Dante-Ospedale-Fersina-Clarina-P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Verona "Big Center";2537;;;07:02;;07:37;;08:07;;08:37;;;09:07;;09:37;;;10:07;;10:37;;;11:07;;11:37;;;12:07;;12:37;;;13:07;;;13:37;;;14:07;;14:37;;;15:07;;15:37;;;16:07;;16:37;;;17:07;;17:37;;;18:07;;18:37;;;19:07;;19:37;;;20:17;
Stella "S.Gaetano";93;;;07:04;;07:39;;08:09;;08:39;;;09:09;;09:39;;;10:09;;10:39;;;11:09;;11:39;;;12:09;;12:39;;;13:09;;;13:39;;;14:09;;14:39;;;15:09;;15:39;;;16:09;;16:39;;;17:09;;17:39;;;18:09;;18:39;;;19:09;;19:39;;;20:19;
Parcheggio Via Lidorno;2990;;;07:07;;07:42;;08:12;;08:42;;;09:12;;09:42;;;10:12;;10:42;;;11:12;;11:42;;;12:12;;12:42;;;13:12;;;13:42;;;14:12;;14:42;;;15:12;;15:42;;;16:12;;16:42;;;17:12;;17:42;;;18:12;;18:42;;;19:12;;19:42;;;20:22;
Fersina "Zona Sportiva";2669;;;07:10;;07:45;;08:15;;08:45;;;09:15;;09:45;;;10:15;;10:45;;;11:15;;11:45;;;12:15;;12:45;;;13:15;;;13:45;;;14:15;;14:45;;;15:15;;15:45;;;16:15;;16:45;;;17:15;;17:45;;;18:15;;18:45;;;19:15;;19:45;;;20:25;
Tangenziale Ovest Pezcoller;173;;;07:14;;07:49;;08:19;;08:49;;;09:19;;09:49;;;10:19;;10:49;;;11:19;;11:49;;;12:19;;12:49;;;13:19;;;13:49;;;14:19;;14:49;;;15:19;;15:49;;;16:19;;16:49;;;17:19;;17:49;;;18:19;;18:49;;;19:19;;19:49;;;20:29;
Jedin Sanseverino;2470;;;07:15;;07:50;;08:20;;08:50;;;09:20;;09:50;;;10:20;;10:50;;;11:20;;11:50;;;12:20;;12:50;;;13:20;;;13:50;;;14:20;;14:50;;;15:20;;15:50;;;16:20;;16:50;;;17:20;;17:50;;;18:20;;18:50;;;19:20;;19:50;;;20:30;
Gandhi "Parco Anna Frank";342;;06:38;07:17;07:28;07:52;07:58;08:22;08:28;08:52;08:45;08:58;09:22;09:28;09:52;09:45;09:58;10:22;10:28;10:52;10:45;10:58;11:22;11:28;11:52;11:45;11:58;12:22;12:28;12:52;12:45;12:58;13:22;;13:28;13:52;13:45;13:58;14:22;14:28;14:52;14:45;14:58;15:22;15:28;15:52;15:45;15:58;16:22;16:28;16:52;16:45;16:58;17:22;17:28;17:52;17:45;17:58;18:22;18:28;18:52;18:45;18:58;19:22;19:28;19:52;19:45;19:58;20:32;
Gramsci "Materna La Clarina";353;;06:39;07:18;07:29;07:53;07:59;08:23;08:29;08:53;08:46;08:59;09:23;09:29;09:53;09:46;09:59;10:23;10:29;10:53;10:46;10:59;11:23;11:29;11:53;11:46;11:59;12:23;12:29;12:53;12:46;12:59;13:23;;13:29;13:53;13:46;13:59;14:23;14:29;14:53;14:46;14:59;15:23;15:29;15:53;15:46;15:59;16:23;16:29;16:53;16:46;16:59;17:23;17:29;17:53;17:46;17:59;18:23;18:29;18:53;18:46;18:59;19:23;19:29;19:53;19:46;19:59;20:33;
*Gramsci Einaudi;354;;06:40;07:19;07:30;07:54;08:00;08:24;08:30;08:54;08:47;09:00;09:24;09:30;09:54;09:47;10:00;10:24;10:30;10:54;10:47;11:00;11:24;11:30;11:54;11:47;12:00;12:24;12:30;12:54;12:47;13:00;13:24;;13:30;13:54;13:47;14:00;14:24;14:30;14:54;14:47;15:00;15:24;15:30;15:54;15:47;16:00;16:24;16:30;16:54;16:47;17:00;17:24;17:30;17:54;17:47;18:00;18:24;18:30;18:54;18:47;19:00;19:24;19:30;19:54;19:47;20:00;20:34;
Fogazzaro "Piscina";339;;06:42;07:21;07:32;07:56;08:02;08:26;08:32;08:56;08:49;09:02;09:26;09:32;09:56;09:49;10:02;10:26;10:32;10:56;10:49;11:02;11:26;11:32;11:56;11:49;12:02;12:26;12:32;12:56;12:49;13:02;13:26;;13:32;13:56;13:49;14:02;14:26;14:32;14:56;14:49;15:02;15:26;15:32;15:56;15:49;16:02;16:26;16:32;16:56;16:49;17:02;17:26;17:32;17:56;17:49;18:02;18:26;18:32;18:56;18:49;19:02;19:26;19:32;19:56;19:49;20:02;20:36;
