Descr.breve:;;17;
Descr.lunga:;;Piazza Dante - Via Bolzano - Lamar - Lavis;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Sabato;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 17/;Linea 17/;Linea 17/;
Servizio:;;
gtfs trip_id;;0003988352023091120240611;0003988362023091120240611;0004010722023091120240611;0003991202023091120240611;0003990522023091120240611;0003994062023091120240611;0003994042023091120240611;0003994312023091120240611;0003994072023091120240611;0004016012023091120240611;0003994052023091120240611;0003994322023091120240611;0003994082023091120240611;0004016022023091120240611;0003994202023091120240611;0003994332023091120240611;0003994092023091120240611;0004016032023091120240611;0003994212023091120240611;0003994342023091120240611;0003994102023091120240611;0004016042023091120240611;0003994222023091120240611;0003994352023091120240611;0003994112023091120240611;0004016052023091120240611;0003994232023091120240611;0003994362023091120240611;0003994122023091120240611;0004016062023091120240611;0003994242023091120240611;0003994372023091120240611;0003994132023091120240611;0004016072023091120240611;0003994252023091120240611;0003994382023091120240611;0003994142023091120240611;0004016082023091120240611;0003994262023091120240611;0003994392023091120240611;0003994152023091120240611;0004016092023091120240611;0003994272023091120240611;0003994402023091120240611;0003994162023091120240611;0004016102023091120240611;0003994282023091120240611;0003994412023091120240611;0003994172023091120240611;0004016112023091120240611;0003994292023091120240611;0003994422023091120240611;0003994182023091120240611;0004016122023091120240611;0003994302023091120240611;0003994432023091120240611;0003994192023091120240611;0004016132023091120240611;0004014312023091120240611;0003992012023091120240611;0004014372023091120240611;0004014332023091120240611;0004014382023091120240611;0004014352023091120240611;
Brennero "Bren Center";292;;;06:47;;;06:59;07:24;07:44;08:04;08:14;08:24;08:44;09:04;09:14;09:24;09:44;10:04;10:14;10:24;10:44;11:04;11:14;11:24;11:44;12:04;12:14;12:24;12:44;13:04;13:14;13:24;13:44;14:04;14:14;14:24;14:44;15:04;15:14;15:24;15:44;16:04;16:14;16:24;16:44;17:04;17:14;17:24;17:44;18:04;18:14;18:24;18:44;19:04;19:14;19:24;19:44;20:04;20:14;20:24;20:44;21:14;;;;
Ss 12 Canova;290;;;06:48;;;07:00;07:25;07:45;08:05;08:15;08:25;08:45;09:05;09:15;09:25;09:45;10:05;10:15;10:25;10:45;11:05;11:15;11:25;11:45;12:05;12:15;12:25;12:45;13:05;13:15;13:25;13:45;14:05;14:15;14:25;14:45;15:05;15:15;15:25;15:45;16:05;16:15;16:25;16:45;17:05;17:15;17:25;17:45;18:05;18:15;18:25;18:45;19:05;19:15;19:25;19:45;20:05;20:15;20:25;20:45;21:15;;;;
Ss 12 Talvera;2438;;;06:49;;;07:01;07:26;07:46;08:06;08:16;08:26;08:46;09:06;09:16;09:26;09:46;10:06;10:16;10:26;10:46;11:06;11:16;11:26;11:46;12:06;12:16;12:26;12:46;13:06;13:16;13:26;13:46;14:06;14:16;14:26;14:46;15:06;15:16;15:26;15:46;16:06;16:16;16:26;16:46;17:06;17:16;17:26;17:46;18:06;18:16;18:26;18:46;19:06;19:16;19:26;19:46;20:06;20:16;20:26;20:46;21:16;;;;
Ss 12 "Pioppeto";2418;;;06:50;;;07:02;07:27;07:47;08:07;08:17;08:27;08:47;09:07;09:17;09:27;09:47;10:07;10:17;10:27;10:47;11:07;11:17;11:27;11:47;12:07;12:17;12:27;12:47;13:07;13:17;13:27;13:47;14:07;14:17;14:27;14:47;15:07;15:17;15:27;15:47;16:07;16:17;16:27;16:47;17:07;17:17;17:27;17:47;18:07;18:17;18:27;18:47;19:07;19:17;19:27;19:47;20:07;20:17;20:27;20:47;21:17;;;;
Ss 12 S.Anna;2419;;;06:51;;;07:03;07:28;07:48;08:08;08:18;08:28;08:48;09:08;09:18;09:28;09:48;10:08;10:18;10:28;10:48;11:08;11:18;11:28;11:48;12:08;12:18;12:28;12:48;13:08;13:18;13:28;13:48;14:08;14:18;14:28;14:48;15:08;15:18;15:28;15:48;16:08;16:18;16:28;16:48;17:08;17:18;17:28;17:48;18:08;18:18;18:28;18:48;19:08;19:18;19:28;19:48;20:08;20:18;20:28;20:48;21:18;;;;
Ss 12 "Zona Ind.Le Ftm";72;;;06:53;;;07:05;07:30;07:50;08:10;08:20;08:30;08:50;09:10;09:20;09:30;09:50;10:10;10:20;10:30;10:50;11:10;11:20;11:30;11:50;12:10;12:20;12:30;12:50;13:10;13:20;13:30;13:50;14:10;14:20;14:30;14:50;15:10;15:20;15:30;15:50;16:10;16:20;16:30;16:50;17:10;17:20;17:30;17:50;18:10;18:20;18:30;18:50;19:10;19:20;19:30;19:50;20:10;20:20;20:30;20:50;21:20;21:54;22:54;23:54;
Lamar "Via Rossa";2472;;;06:54;;;07:06;07:31;07:51;08:11;08:21;08:31;08:51;09:11;09:21;09:31;09:51;10:11;10:21;10:31;10:51;11:11;11:21;11:31;11:51;12:11;12:21;12:31;12:51;13:11;13:21;13:31;13:51;14:11;14:21;14:31;14:51;15:11;15:21;15:31;15:51;16:11;16:21;16:31;16:51;17:11;17:21;17:31;17:51;18:11;18:21;18:31;18:51;19:11;19:21;19:31;19:51;20:11;20:21;20:31;20:51;21:21;21:55;22:55;23:55;
Lamar "Ftm";73;06:25;06:45;06:55;07:02;07:06;07:07;07:32;07:52;08:12;08:22;08:32;08:52;09:12;09:22;09:32;09:52;10:12;10:22;10:32;10:52;11:12;11:22;11:32;11:52;12:12;12:22;12:32;12:52;13:12;13:22;13:32;13:52;14:12;14:22;14:32;14:52;15:12;15:22;15:32;15:52;16:12;16:22;16:32;16:52;17:12;17:22;17:32;17:52;18:12;18:22;18:32;18:52;19:12;19:22;19:32;19:52;20:12;20:22;20:32;20:52;21:22;21:56;22:56;23:56;
Lamar "Sottostazione Enel";75;06:26;06:46;06:56;07:03;07:07;07:08;07:33;07:53;08:13;08:23;08:33;08:53;09:13;09:23;09:33;09:53;10:13;10:23;10:33;10:53;11:13;11:23;11:33;11:53;12:13;12:23;12:33;12:53;13:13;13:23;13:33;13:53;14:13;14:23;14:33;14:53;15:13;15:23;15:33;15:53;16:13;16:23;16:33;16:53;17:13;17:23;17:33;17:53;18:13;18:23;18:33;18:53;19:13;19:23;19:33;19:53;20:13;20:23;20:33;20:53;21:23;21:57;22:57;23:57;
Lamar Ponte Avisio;4;06:27;06:47;06:57;07:04;07:08;07:09;07:34;07:54;08:14;08:24;08:34;08:54;09:14;09:24;09:34;09:54;10:14;10:24;10:34;10:54;11:14;11:24;11:34;11:54;12:14;12:24;12:34;12:54;13:14;13:24;13:34;13:54;14:14;14:24;14:34;14:54;15:14;15:24;15:34;15:54;16:14;16:24;16:34;16:54;17:14;17:24;17:34;17:54;18:14;18:24;18:34;18:54;19:14;19:24;19:34;19:54;20:14;20:24;20:34;20:54;21:24;21:58;22:58;23:58;
Lavis Nazionale;77;06:29;06:49;06:59;07:06;07:10;07:11;07:36;07:56;08:16;08:26;08:36;08:56;09:16;09:26;09:36;09:56;10:16;10:26;10:36;10:56;11:16;11:26;11:36;11:56;12:16;12:26;12:36;12:56;13:16;13:26;13:36;13:56;14:16;14:26;14:36;14:56;15:16;15:26;15:36;15:56;16:16;16:26;16:36;16:56;17:16;17:26;17:36;17:56;18:16;18:26;18:36;18:56;19:16;19:26;19:36;19:56;20:16;20:26;20:36;20:56;21:26;22:00;23:00;24:00;
Lavis "Stazione Ftm";3093;06:30;06:50;07:00;07:07;07:11;07:12;07:37;07:57;08:17;08:27;08:37;08:57;09:17;09:27;09:37;09:57;10:17;10:27;10:37;10:57;11:17;11:27;11:37;11:57;12:17;12:27;12:37;12:57;13:17;13:27;13:37;13:57;14:17;14:27;14:37;14:57;15:17;15:27;15:37;15:57;16:17;16:27;16:37;16:57;17:17;17:27;17:37;17:57;18:17;18:27;18:37;18:57;19:17;19:27;19:37;19:57;20:17;20:27;20:37;20:57;21:27;22:01;23:01;24:01;
Lavis Cembra;81;06:30;06:50;07:00;07:07;07:11;07:12;07:37;07:57;08:17;08:27;08:37;08:57;09:17;09:27;09:37;09:57;10:17;10:27;10:37;10:57;11:17;11:27;11:37;11:57;12:17;12:27;12:37;12:57;13:17;13:27;13:37;13:57;14:17;14:27;14:37;14:57;15:17;15:27;15:37;15:57;16:17;16:27;16:37;16:57;17:17;17:27;17:37;17:57;18:17;18:27;18:37;18:57;19:17;19:27;19:37;19:57;20:17;20:27;20:37;20:57;21:27;22:01;23:01;24:01;
Lavis Rosmini Segantini;80;06:31;06:51;07:01;07:08;07:12;07:13;07:38;07:58;08:18;08:28;08:38;08:58;09:18;09:28;09:38;09:58;10:18;10:28;10:38;10:58;11:18;11:28;11:38;11:58;12:18;12:28;12:38;12:58;13:18;13:28;13:38;13:58;14:18;14:28;14:38;14:58;15:18;15:28;15:38;15:58;16:18;16:28;16:38;16:58;17:18;17:28;17:38;17:58;18:18;18:28;18:38;18:58;19:18;19:28;19:38;19:58;20:18;20:28;20:38;20:58;21:28;22:02;23:02;24:02;
LAVIS Piazza Mercato;;-06:34;-06:54;-07:04;-07:11;-07:15;-07:19;-07:44;-08:04;-08:24;-08:34;-08:44;-09:04;-09:24;-09:34;-09:44;-10:04;-10:24;-10:34;-10:44;-11:04;-11:24;-11:34;-11:44;-12:04;-12:24;-12:34;-12:44;-13:04;-13:24;-13:34;-13:44;-14:04;-14:24;-14:34;-14:44;-15:04;-15:24;-15:34;-15:44;-16:04;-16:24;-16:34;-16:44;-17:04;-17:24;-17:34;-17:44;-18:04;-18:24;-18:34;-18:44;-19:04;-19:24;-19:34;-19:44;-20:04;-20:24;-20:34;-20:44;-21:04;-21:34;-22:08;-23:08;;
