Descr.breve:;;7;
Descr.lunga:;;Canova - Melta - Piazza Dante - Gocciadoro;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;Feriale da Lunedì a Venerdì;;;;;;Feriale da Lunedì a Venerdì;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 17/;Linea 17/;Linea 17/;
Servizio:;;
gtfs trip_id;;0004011992023091120240611;0003993402023091120240611;0003993292023091120240611;0004007102023091120240611;0003993352023091120240611;0003993282023091120240611;0004012062023091120240611;0003993412023091120240611;0003992772023091120240611;0003993382023091120240611;0003992752023091120240611;0003993392023091120240611;0004007382023091120240611;0003993362023091120240611;0003992762023091120240611;0003993372023091120240611;0003992812023091120240611;0003992782023091120240611;0003992802023091120240611;0003992792023091120240611;0003993032023091120240611;0003993112023091120240611;0003993192023091120240611;0003992822023091120240611;0003992892023091120240611;0003992962023091120240611;0003993042023091120240611;0003993122023091120240611;0003993202023091120240611;0003992832023091120240611;0003992902023091120240611;0003992972023091120240611;0003993052023091120240611;0003993132023091120240611;0003993212023091120240611;0003992842023091120240611;0003992912023091120240611;0003992982023091120240611;0003993062023091120240611;0003993142023091120240611;0003993222023091120240611;0003992852023091120240611;0003992922023091120240611;0003992992023091120240611;0003993072023091120240611;0003993152023091120240611;0003993232023091120240611;0003992862023091120240611;0003992932023091120240611;0003993002023091120240611;0003993082023091120240611;0003993162023091120240611;0003993242023091120240611;0003992872023091120240611;0003992942023091120240611;0003993012023091120240611;0003993092023091120240611;0003993172023091120240611;0003993252023091120240611;0003992882023091120240611;0003992952023091120240611;0003993022023091120240611;0003993102023091120240611;0003993182023091120240611;0003993262023091120240611;0003993272023091120240611;0004013712023091120240611;0004013722023091120240611;;;;
Melta "Case Itea";87;;06:05;06:20;06:40;07:00;07:05;07:07;07:09;07:13;07:17;07:25;07:36;07:37;07:46;07:55;08:01;08:15;08:30;08:45;09:00;09:15;09:30;09:45;10:00;10:15;10:30;10:45;11:00;11:15;11:30;11:45;12:00;12:15;12:30;12:45;13:00;13:15;13:30;13:45;14:00;14:15;14:30;14:45;15:00;15:15;15:30;15:45;16:00;16:15;16:30;16:45;17:00;17:15;17:30;17:45;18:00;18:15;18:30;18:45;19:00;19:15;19:30;19:45;20:00;20:15;20:30;20:45;21:00;;;;
Melta Centro;90;;06:06;06:21;06:41;07:01;07:06;07:08;07:10;07:14;07:18;07:26;07:37;07:38;07:47;07:56;08:02;08:16;08:31;08:46;09:01;09:16;09:31;09:46;10:01;10:16;10:31;10:46;11:01;11:16;11:31;11:46;12:01;12:16;12:31;12:46;13:01;13:16;13:31;13:46;14:01;14:16;14:31;14:46;15:01;15:16;15:31;15:46;16:01;16:16;16:31;16:46;17:01;17:16;17:31;17:46;18:01;18:16;18:31;18:46;19:01;19:16;19:31;19:46;20:01;20:16;20:31;20:46;21:01;;;;
Parco di Melta;88;;06:07;06:22;06:42;07:02;07:07;07:09;07:11;07:15;07:19;07:27;07:38;07:39;07:48;07:57;08:03;08:17;08:32;08:47;09:02;09:17;09:32;09:47;10:02;10:17;10:32;10:47;11:02;11:17;11:32;11:47;12:02;12:17;12:32;12:47;13:02;13:17;13:32;13:47;14:02;14:17;14:32;14:47;15:02;15:17;15:32;15:47;16:02;16:17;16:32;16:47;17:02;17:17;17:32;17:47;18:02;18:17;18:32;18:47;19:02;19:17;19:32;19:47;20:02;20:17;20:32;20:47;21:02;;;;
Centochiavi Chiocchetti;86;;06:08;06:23;06:43;07:03;07:08;07:10;07:12;07:16;07:20;07:28;07:39;07:40;07:49;07:58;08:04;08:18;08:33;08:48;09:03;09:18;09:33;09:48;10:03;10:18;10:33;10:48;11:03;11:18;11:33;11:48;12:03;12:18;12:33;12:48;13:03;13:18;13:33;13:48;14:03;14:18;14:33;14:48;15:03;15:18;15:33;15:48;16:03;16:18;16:33;16:48;17:03;17:18;17:33;17:48;18:03;18:18;18:33;18:48;19:03;19:18;19:33;19:48;20:03;20:18;20:33;20:48;21:03;;;;
*Centochiavi Lunelli;2389;;06:08;06:23;06:43;07:03;07:08;07:10;07:12;07:16;07:20;07:28;07:39;07:40;07:49;07:58;08:04;08:18;08:33;08:48;09:03;09:18;09:33;09:48;10:03;10:18;10:33;10:48;11:03;11:18;11:33;11:48;12:03;12:18;12:33;12:48;13:03;13:18;13:33;13:48;14:03;14:18;14:33;14:48;15:03;15:18;15:33;15:48;16:03;16:18;16:33;16:48;17:03;17:18;17:33;17:48;18:03;18:18;18:33;18:48;19:03;19:18;19:33;19:48;20:03;20:18;20:33;20:48;21:03;;;;
Solteri Largaiolli;425;;06:09;06:24;06:44;07:04;07:09;07:11;07:13;07:17;07:21;07:29;07:40;07:41;07:50;07:59;08:05;08:19;08:34;08:49;09:04;09:19;09:34;09:49;10:04;10:19;10:34;10:49;11:04;11:19;11:34;11:49;12:04;12:19;12:34;12:49;13:04;13:19;13:34;13:49;14:04;14:19;14:34;14:49;15:04;15:19;15:34;15:49;16:04;16:19;16:34;16:49;17:04;17:19;17:34;17:49;18:04;18:19;18:34;18:49;19:04;19:19;19:34;19:49;20:04;20:19;20:34;20:49;21:04;;;;
Solteri "Nido La Trottola";427;;06:10;06:25;06:45;07:05;07:10;07:12;07:14;07:18;07:22;07:30;07:41;07:42;07:51;08:00;08:06;08:20;08:35;08:50;09:05;09:20;09:35;09:50;10:05;10:20;10:35;10:50;11:05;11:20;11:35;11:50;12:05;12:20;12:35;12:50;13:05;13:20;13:35;13:50;14:05;14:20;14:35;14:50;15:05;15:20;15:35;15:50;16:05;16:20;16:35;16:50;17:05;17:20;17:35;17:50;18:05;18:20;18:35;18:50;19:05;19:20;19:35;19:50;20:05;20:20;20:35;20:50;21:05;;;;
Solteri "Piazzina";423;;06:11;06:26;06:46;07:06;07:11;07:13;07:15;07:19;07:23;07:31;07:42;07:43;07:52;08:01;08:07;08:21;08:36;08:51;09:06;09:21;09:36;09:51;10:06;10:21;10:36;10:51;11:06;11:21;11:36;11:51;12:06;12:21;12:36;12:51;13:06;13:21;13:36;13:51;14:06;14:21;14:36;14:51;15:06;15:21;15:36;15:51;16:06;16:21;16:36;16:51;17:06;17:21;17:36;17:51;18:06;18:21;18:36;18:51;19:06;19:21;19:36;19:51;20:06;20:21;20:36;20:51;21:06;;;;
Marconi Solteri;375;;06:12;06:27;06:47;07:07;07:12;07:14;07:16;07:20;07:24;07:32;07:43;07:44;07:53;08:02;08:08;08:22;08:37;08:52;09:07;09:22;09:37;09:52;10:07;10:22;10:37;10:52;11:07;11:22;11:37;11:52;12:07;12:22;12:37;12:52;13:07;13:22;13:37;13:52;14:07;14:22;14:37;14:52;15:07;15:22;15:37;15:52;16:07;16:22;16:37;16:52;17:07;17:22;17:37;17:52;18:07;18:22;18:37;18:52;19:07;19:22;19:37;19:52;20:07;20:22;20:37;20:52;21:07;;;;
Brennero Marconi;295;;06:14;06:29;06:49;07:09;07:14;07:16;07:18;07:22;07:26;07:34;07:45;07:46;07:55;08:04;08:10;08:24;08:39;08:54;09:09;09:24;09:39;09:54;10:09;10:24;10:39;10:54;11:09;11:24;11:39;11:54;12:09;12:24;12:39;12:54;13:09;13:24;13:39;13:54;14:09;14:24;14:39;14:54;15:09;15:24;15:39;15:54;16:09;16:24;16:39;16:54;17:09;17:24;17:39;17:54;18:09;18:24;18:39;18:54;19:09;19:24;19:39;19:54;20:09;20:24;20:39;20:54;21:09;;;;
Brennero "Ex Scalo Filzi";298;;06:15;06:30;06:50;07:10;07:15;07:17;07:19;07:23;07:27;07:35;07:46;07:47;07:56;08:05;08:11;08:25;08:40;08:55;09:10;09:25;09:40;09:55;10:10;10:25;10:40;10:55;11:10;11:25;11:40;11:55;12:10;12:25;12:40;12:55;13:10;13:25;13:40;13:55;14:10;14:25;14:40;14:55;15:10;15:25;15:40;15:55;16:10;16:25;16:40;16:55;17:10;17:25;17:40;17:55;18:10;18:25;18:40;18:55;19:10;19:25;19:40;19:55;20:10;20:25;20:40;20:55;21:10;;;;
Segantini Centa;420;;06:17;06:32;06:52;07:12;07:17;07:19;07:21;07:25;07:29;07:37;07:48;07:49;07:58;08:07;08:13;08:27;08:42;08:57;09:12;09:27;09:42;09:57;10:12;10:27;10:42;10:57;11:12;11:27;11:42;11:57;12:12;12:27;12:42;12:57;13:12;13:27;13:42;13:57;14:12;14:27;14:42;14:57;15:12;15:27;15:42;15:57;16:12;16:27;16:42;16:57;17:12;17:27;17:42;17:57;18:12;18:27;18:42;18:57;19:12;19:27;19:42;19:57;20:12;20:27;20:42;20:57;21:12;;;;
*Segantini Dogana;421;;06:17;06:32;06:52;07:12;07:17;07:19;07:21;07:25;07:29;07:37;07:48;07:49;07:58;08:07;08:13;08:27;08:42;08:57;09:12;09:27;09:42;09:57;10:12;10:27;10:42;10:57;11:12;11:27;11:42;11:57;12:12;12:27;12:42;12:57;13:12;13:27;13:42;13:57;14:12;14:27;14:42;14:57;15:12;15:27;15:42;15:57;16:12;16:27;16:42;16:57;17:12;17:27;17:42;17:57;18:12;18:27;18:42;18:57;19:12;19:27;19:42;19:57;20:12;20:27;20:42;20:57;21:12;;;;
Piazza Dante "Dogana";2189;;06:18;;;;;07:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21:13;;;;
Piazza Dante "Palazzo Pat";163;;;06:33;06:53;07:13;07:18;;07:22;07:26;07:30;07:38;07:49;07:50;07:59;08:08;08:14;08:28;08:43;08:58;09:13;09:28;09:43;09:58;10:13;10:28;10:43;10:58;11:13;11:28;11:43;11:58;12:13;12:28;12:43;12:58;13:13;13:28;13:43;13:58;14:13;14:28;14:43;14:58;15:13;15:28;15:43;15:58;16:13;16:28;16:43;16:58;17:13;17:28;17:43;17:58;18:13;18:28;18:43;18:58;19:13;19:28;19:43;19:58;20:13;20:28;20:43;20:58;;;;;
Gazzoletti Piazza Dante;2680;;;06:33;06:53;07:13;07:18;;07:22;07:26;07:30;07:38;07:49;07:50;07:59;08:08;08:14;08:28;08:43;08:58;09:13;09:28;09:43;09:58;10:13;10:28;10:43;10:58;11:13;11:28;11:43;11:58;12:13;12:28;12:43;12:58;13:13;13:28;13:43;13:58;14:13;14:28;14:43;14:58;15:13;15:28;15:43;15:58;16:13;16:28;16:43;16:58;17:13;17:28;17:43;17:58;18:13;18:28;18:43;18:58;19:13;19:28;19:43;19:58;20:13;20:28;20:43;20:58;;;;;
