gtfs trip_id;;0003991502023091120240611;0003991522023091120240611;0003991512023091120240611;0003991672023091120240611;0003991532023091120240611;0003991542023091120240611;0003991682023091120240611;0004016332023091120240611;0003991792023091120240611;0003991552023091120240611;0003991692023091120240611;0004016342023091120240611;0003991802023091120240611;0003991562023091120240611;0003991702023091120240611;0004016352023091120240611;0003991812023091120240611;0003991572023091120240611;0003991712023091120240611;0004016362023091120240611;0003991822023091120240611;0003991582023091120240611;0003991722023091120240611;0004016372023091120240611;0003996442023091120240611;0003991832023091120240611;0003991592023091120240611;0003991732023091120240611;0004016432023091120240611;0003997562023091120240611;0003991602023091120240611;0003991742023091120240611;0004016442023091120240611;0003991852023091120240611;0003991612023091120240611;0003991752023091120240611;0004016452023091120240611;0003991862023091120240611;0003991622023091120240611;0003991762023091120240611;0004016462023091120240611;0003991872023091120240611;0003991632023091120240611;0003991772023091120240611;0004016472023091120240611;0003991882023091120240611;0003997552023091120240611;0003991782023091120240611;0004016482023091120240611;0003997642023091120240611;0003997612023091120240611;0003997622023091120240611;0004016492023091120240611;0003991902023091120240611;0003991662023091120240611;0004014282023091120240611;0004014252023091120240611;0004014262023091120240611;0004014272023091120240611;
smartplanner route_id;;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;12A;
service_id;;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000032023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000001642023091120240611;0000000102023091120240611;0000000022023091120240611;0000000102023091120240611;0000000022023091120240611;0000000022023091120240611;0000000022023091120240611;
stops;stop_id;0003991502023091120240611;0003991522023091120240611;0003991512023091120240611;0003991672023091120240611;0003991532023091120240611;0003991542023091120240611;0003991682023091120240611;0004016332023091120240611;0003991792023091120240611;0003991552023091120240611;0003991692023091120240611;0004016342023091120240611;0003991802023091120240611;0003991562023091120240611;0003991702023091120240611;0004016352023091120240611;0003991812023091120240611;0003991572023091120240611;0003991712023091120240611;0004016362023091120240611;0003991822023091120240611;0003991582023091120240611;0003991722023091120240611;0004016372023091120240611;0003996442023091120240611;0003991832023091120240611;0003991592023091120240611;0003991732023091120240611;0004016432023091120240611;0003997562023091120240611;0003991602023091120240611;0003991742023091120240611;0004016442023091120240611;0003991852023091120240611;0003991612023091120240611;0003991752023091120240611;0004016452023091120240611;0003991862023091120240611;0003991622023091120240611;0003991762023091120240611;0004016462023091120240611;0003991872023091120240611;0003991632023091120240611;0003991772023091120240611;0004016472023091120240611;0003991882023091120240611;0003997552023091120240611;0003991782023091120240611;0004016482023091120240611;0003997642023091120240611;0003997612023091120240611;0003997622023091120240611;0004016492023091120240611;0003991902023091120240611;0003991662023091120240611;0004014282023091120240611;0004014252023091120240611;0004014262023091120240611;0004014272023091120240611;
Ponte di Ravina;2497;06:46;07:06;07:41;08:06;08:26;08:56;09:16;09:26;09:36;09:56;10:16;10:26;10:36;10:56;11:16;11:26;11:36;11:56;12:16;12:26;12:36;12:56;13:16;13:26;13:30;13:41;13:56;14:16;14:26;14:36;14:56;15:16;15:26;15:36;15:56;16:16;16:26;16:36;16:56;17:16;17:26;17:36;17:56;18:16;18:26;18:36;18:56;19:16;19:26;19:36;19:56;20:16;20:26;20:36;20:56;21:26;22:09;23:09;24:09;
Ravina Del Ponte;200;06:47;07:07;07:42;08:07;08:27;08:57;09:17;09:27;09:37;09:57;10:17;10:27;10:37;10:57;11:17;11:27;11:37;11:57;12:17;12:27;12:37;12:57;13:17;13:27;13:31;13:42;13:57;14:17;14:27;14:37;14:57;15:17;15:27;15:37;15:57;16:17;16:27;16:37;16:57;17:17;17:27;17:37;17:57;18:17;18:27;18:37;18:57;19:17;19:27;19:37;19:57;20:17;20:27;20:37;20:57;21:27;22:10;23:10;24:10;
Ravina Della Croce;2437;06:48;07:08;07:43;08:08;08:28;08:58;09:18;09:28;09:38;09:58;10:18;10:28;10:38;10:58;11:18;11:28;11:38;11:58;12:18;12:28;12:38;12:58;13:18;13:28;13:32;13:43;13:58;14:18;14:28;14:38;14:58;15:18;15:28;15:38;15:58;16:18;16:28;16:38;16:58;17:18;17:28;17:38;17:58;18:18;18:28;18:38;18:58;19:18;19:28;19:38;19:58;20:18;20:28;20:38;20:58;21:28;22:11;23:11;24:11;
Ravina Chiesa;196;;;;;;;;;;;;;;;;;;;;;;;;;13:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22:12;23:12;24:12;
Ravina Per Belvedere;198;;;;;;;;;;;;;;;;;;;;;;;;;13:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22:13;23:13;24:13;
Belvedere;3;;;;;;;;;;;;;;;;;;;;;;;;;13:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22:14;23:14;24:14;
*Ravina Per Belvedere;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22:15;23:15;24:15;
Ravina Piazza;197;06:49;07:09;07:44;08:09;08:29;08:59;09:19;09:29;09:39;09:59;10:19;10:29;10:39;10:59;11:19;11:29;11:39;11:59;12:19;12:29;12:39;12:59;13:19;13:29;;13:44;13:59;14:19;14:29;14:39;14:59;15:19;15:29;15:39;15:59;16:19;16:29;16:39;16:59;17:19;17:29;17:39;17:59;18:19;18:29;18:39;18:59;19:19;19:29;19:39;19:59;20:19;20:29;20:39;20:59;21:29;22:16;23:16;24:16;
Ravina Masere;193;06:50;07:10;07:45;08:10;08:30;09:00;09:20;09:30;09:40;10:00;10:20;10:30;10:40;11:00;11:20;11:30;11:40;12:00;12:20;12:30;12:40;13:00;13:20;13:30;;13:45;14:00;14:20;14:30;14:40;15:00;15:20;15:30;15:40;16:00;16:20;16:30;16:40;17:00;17:20;17:30;17:40;18:00;18:20;18:30;18:40;19:00;19:20;19:30;19:40;20:00;20:20;20:30;20:40;21:00;21:30;22:17;23:17;24:17;
Ravina "Case Itea";194;06:51;07:11;07:46;08:11;08:31;09:01;09:21;09:31;09:41;10:01;10:21;10:31;10:41;11:01;11:21;11:31;11:41;12:01;12:21;12:31;12:41;13:01;13:21;13:31;;13:46;14:01;14:21;14:31;14:41;15:01;15:21;15:31;15:41;16:01;16:21;16:31;16:41;17:01;17:21;17:31;17:41;18:01;18:21;18:31;18:41;19:01;19:21;19:31;19:41;20:01;20:21;20:31;20:41;21:01;21:31;22:18;23:18;24:18;
Ravina "Maso Stella";117;06:52;07:12;07:47;08:12;08:32;09:02;09:22;09:32;09:42;10:02;10:22;10:32;10:42;11:02;11:22;11:32;11:42;12:02;12:22;12:32;12:42;13:02;13:22;13:32;;13:47;14:02;14:22;14:32;14:42;15:02;15:22;15:32;15:42;16:02;16:22;16:32;16:42;17:02;17:22;17:32;17:42;18:02;18:22;18:32;18:42;19:02;19:22;19:32;19:42;20:02;20:22;20:32;20:42;21:02;21:32;22:19;23:19;24:19;
Sp 90 "Maso Prudenza";439;06:52;07:12;07:47;08:12;08:32;09:02;09:22;09:32;09:42;10:02;10:22;10:32;10:42;11:02;11:22;11:32;11:42;12:02;12:22;12:32;12:42;13:02;13:22;13:32;;13:47;14:02;14:22;14:32;14:42;15:02;15:22;15:32;15:42;16:02;16:22;16:32;16:42;17:02;17:22;17:32;17:42;18:02;18:22;18:32;18:42;19:02;19:22;19:32;19:42;20:02;20:22;20:32;20:42;21:02;21:32;22:19;23:19;24:19;
Romagnano Nord;203;06:53;07:13;07:48;08:13;08:33;09:03;09:23;09:33;09:43;10:03;10:23;10:33;10:43;11:03;11:23;11:33;11:43;12:03;12:23;12:33;12:43;13:03;13:23;13:33;;13:48;14:03;14:23;14:33;14:43;15:03;15:23;15:33;15:43;16:03;16:23;16:33;16:43;17:03;17:23;17:33;17:43;18:03;18:23;18:33;18:43;19:03;19:23;19:33;19:43;20:03;20:23;20:33;20:43;21:03;21:33;22:20;23:20;24:20;
Romagnano Rimoni;211;06:54;07:14;07:49;08:14;08:34;09:04;09:24;09:34;09:44;10:04;10:24;10:34;10:44;11:04;11:24;11:34;11:44;12:04;12:24;12:34;12:44;13:04;13:24;13:34;;13:49;14:04;14:24;14:34;14:44;15:04;15:24;15:34;15:44;16:04;16:24;16:34;16:44;17:04;17:24;17:34;17:44;18:04;18:24;18:34;18:44;19:04;19:24;19:34;19:44;20:04;20:24;20:34;20:44;21:04;21:34;22:21;23:21;24:21;
Romagnano Fontanelle;205;06:55;07:15;07:50;08:15;08:35;09:05;09:25;09:35;09:45;10:05;10:25;10:35;10:45;11:05;11:25;11:35;11:45;12:05;12:25;12:35;12:45;13:05;13:25;13:35;;13:50;14:05;14:25;14:35;14:45;15:05;15:25;15:35;15:45;16:05;16:25;16:35;16:45;17:05;17:25;17:35;17:45;18:05;18:25;18:35;18:45;19:05;19:25;19:35;19:45;20:05;20:25;20:35;20:45;21:05;21:35;22:22;23:22;24:22;
Romagnano Sud;209;06:55;07:15;07:50;08:15;08:35;09:05;09:25;09:35;09:45;10:05;10:25;10:35;10:45;11:05;11:25;11:35;11:45;12:05;12:25;12:35;12:45;13:05;13:25;13:35;;13:50;14:05;14:25;14:35;14:45;15:05;15:25;15:35;15:45;16:05;16:25;16:35;16:45;17:05;17:25;17:35;17:45;18:05;18:25;18:35;18:45;19:05;19:25;19:35;19:45;20:05;20:25;20:35;20:45;21:05;21:35;22:22;23:22;24:22;
Romagnano 7 Fontane;207;06:56;07:16;07:51;08:16;08:36;09:06;09:26;09:36;09:46;10:06;10:26;10:36;10:46;11:06;11:26;11:36;11:46;12:06;12:26;12:36;12:46;13:06;13:26;13:36;;13:51;14:06;14:26;14:36;14:46;15:06;15:26;15:36;15:46;16:06;16:26;16:36;16:46;17:06;17:26;17:36;17:46;18:06;18:26;18:36;18:46;19:06;19:26;19:36;19:46;20:06;20:26;20:36;20:46;21:06;21:36;22:23;23:23;24:23;
Romagnano Piazza Condini;208;06:56;07:16;07:51;08:16;08:36;09:06;09:26;09:36;09:46;10:06;10:26;10:36;10:46;11:06;11:26;11:36;11:46;12:06;12:26;12:36;12:46;13:06;13:26;13:36;;13:51;14:06;14:26;14:36;14:46;15:06;15:26;15:36;15:46;16:06;16:26;16:36;16:46;17:06;17:26;17:36;17:46;18:06;18:26;18:36;18:46;19:06;19:26;19:36;19:46;20:06;20:26;20:36;20:46;21:06;21:36;22:23;23:23;24:23;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
