Descr.breve:;;9;
Descr.lunga:;;P.Dante - S.Donà - Cognola - Villamontagna;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FERIALE;
Frequenza:;;;;;;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;Scolastica da Lunedì a Sabato;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;;Scolastica da Lunedì a Venerdì;Scol. Sab e non scol. Lun-Sab;Scolastica da Lunedì a Venerdì;
Linea:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Linea 10/;;;;;;;;;;;;;Linea 10/;;;;;;;;;;;;;;;;;;;;;;Linea 10;Linea 5;Linea 10;Linea 5;Linea 10;Linea 5;
Servizio:;;
gtfs trip_id;;0003988412023091120240611;0003989802023091120240611;0003989792023091120240611;0003988402023091120240611;0003989812023091120240611;0003989832023091120240611;0004016582023091120240611;0003989962023091120240611;0004016592023091120240611;0003989822023091120240611;0003989842023091120240611;0003990092023091120240611;0004016602023091120240611;0003989972023091120240611;0003989852023091120240611;0003990102023091120240611;0004016612023091120240611;0003989982023091120240611;0003989862023091120240611;0003990112023091120240611;0004016622023091120240611;0003989992023091120240611;0003988452023091120240611;0003989872023091120240611;0003990122023091120240611;0004016632023091120240611;0003990002023091120240611;;0003991482023091120240611;0003989882023091120240611;0003990132023091120240611;0004014802023091120240611;0003990012023091120240611;0003989892023091120240611;0003990142023091120240611;0004014812023091120240611;0003990022023091120240611;0003989902023091120240611;0003990152023091120240611;0004014822023091120240611;;0003990032023091120240611;0003989912023091120240611;0003990162023091120240611;0004014832023091120240611;0003990042023091120240611;0003989922023091120240611;0003990172023091120240611;0004014842023091120240611;0003990052023091120240611;0003989932023091120240611;0003990182023091120240611;0004014852023091120240611;0003990062023091120240611;0003989942023091120240611;0003990192023091120240611;0004014862023091120240611;0003990072023091120240611;0003989952023091120240611;0003990202023091120240611;0004014872023091120240611;0003990082023091120240611;;;;;;;
Cognola Grezoni;22;06:47;07:11;07:27;07:42;08:07;08:27;08:37;08:47;09:07;09:17;09:37;09:57;10:07;10:17;10:37;10:57;11:07;11:17;11:37;11:57;12:07;12:17;12:27;12:37;12:57;13:07;13:22;;13:28;13:37;13:57;14:07;14:17;14:37;14:57;15:07;15:17;15:37;15:57;16:07;;16:17;16:37;16:57;17:07;17:17;17:37;17:57;18:07;18:17;18:37;18:57;19:07;19:17;19:37;19:57;20:07;20:17;20:37;20:57;21:07;21:17;;;;;;;
Cognola Alla Veduta "Roza";30;06:48;07:12;07:28;07:43;08:08;08:28;08:38;08:48;09:08;09:18;09:38;09:58;10:08;10:18;10:38;10:58;11:08;11:18;11:38;11:58;12:08;12:18;12:28;12:38;12:58;13:08;13:23;;13:29;13:38;13:58;14:08;14:18;14:38;14:58;15:08;15:18;15:38;15:58;16:08;;16:18;16:38;16:58;17:08;17:18;17:38;17:58;18:08;18:18;18:38;18:58;19:08;19:18;19:38;19:58;20:08;20:18;20:38;20:58;21:08;21:18;;;;;;;
Cognola "Toresela";18;06:48;07:12;07:28;07:43;08:08;08:28;08:38;08:48;09:08;09:18;09:38;09:58;10:08;10:18;10:38;10:58;11:08;11:18;11:38;11:58;12:08;12:18;12:28;12:38;12:58;13:08;13:23;;13:29;13:38;13:58;14:08;14:18;14:38;14:58;15:08;15:18;15:38;15:58;16:08;;16:18;16:38;16:58;17:08;17:18;17:38;17:58;18:08;18:18;18:38;18:58;19:08;19:18;19:38;19:58;20:08;20:18;20:38;20:58;21:08;21:18;;;;;;;
Cognola Bivio Civezzano;20;06:49;07:13;07:29;07:44;08:09;08:29;08:39;08:49;09:09;09:19;09:39;09:59;10:09;10:19;10:39;10:59;11:09;11:19;11:39;11:59;12:09;12:19;12:29;12:39;12:59;13:09;13:24;;13:30;13:39;13:59;14:09;14:19;14:39;14:59;15:09;15:19;15:39;15:59;16:09;;16:19;16:39;16:59;17:09;17:19;17:39;17:59;18:09;18:19;18:39;18:59;19:09;19:19;19:39;19:59;20:09;20:19;20:39;20:59;21:09;21:19;;;;;;;
Tavernaro "Villa Clementi";252;06:49;07:13;07:29;07:44;08:09;08:29;08:39;08:49;09:09;09:19;09:39;09:59;10:09;10:19;10:39;10:59;11:09;11:19;11:39;11:59;12:09;12:19;12:29;12:39;12:59;13:09;13:24;;13:30;13:39;13:59;14:09;14:19;14:39;14:59;15:09;15:19;15:39;15:59;16:09;;16:19;16:39;16:59;17:09;17:19;17:39;17:59;18:09;18:19;18:39;18:59;19:09;19:19;19:39;19:59;20:09;20:19;20:39;20:59;21:09;21:19;;;;;;;
Tavernaro Centro;248;06:50;07:14;07:30;07:45;08:10;08:30;08:40;08:50;09:10;09:20;09:40;10:00;10:10;10:20;10:40;11:00;11:10;11:20;11:40;12:00;12:10;12:20;12:30;12:40;13:00;13:10;13:25;;13:31;13:40;14:00;14:10;14:20;14:40;15:00;15:10;15:20;15:40;16:00;16:10;;16:20;16:40;17:00;17:10;17:20;17:40;18:00;18:10;18:20;18:40;19:00;19:10;19:20;19:40;20:00;20:10;20:20;20:40;21:00;21:10;21:20;;;;;;;
Tavernaro "Salet";250;06:51;07:15;07:31;07:46;08:11;08:31;08:41;08:51;09:11;09:21;09:41;10:01;10:11;10:21;10:41;11:01;11:11;11:21;11:41;12:01;12:11;12:21;12:31;12:41;13:01;13:11;13:26;;13:32;13:41;14:01;14:11;14:21;14:41;15:01;15:11;15:21;15:41;16:01;16:11;;16:21;16:41;17:01;17:11;17:21;17:41;18:01;18:11;18:21;18:41;19:01;19:11;19:21;19:41;20:01;20:11;20:21;20:41;21:01;21:11;21:21;;;;;;;
Villamontagna "Michei";478;06:53;07:17;07:33;07:48;08:13;08:33;08:43;08:53;09:13;09:23;09:43;10:03;10:13;10:23;10:43;11:03;11:13;11:23;11:43;12:03;12:13;12:23;12:33;12:43;13:03;13:13;13:28;;13:34;13:43;14:03;14:13;14:23;14:43;15:03;15:13;15:23;15:43;16:03;16:13;;16:23;16:43;17:03;17:13;17:23;17:43;18:03;18:13;18:23;18:43;19:03;19:13;19:23;19:43;20:03;20:13;20:23;20:43;21:03;21:13;21:23;;;;;;;
Villamontagna P.Predaroi;477;06:54;07:18;07:34;07:49;08:14;08:34;08:44;08:54;09:14;09:24;09:44;10:04;10:14;10:24;10:44;11:04;11:14;11:24;11:44;12:04;12:14;12:24;12:34;12:44;13:04;13:14;13:29;;13:35;13:44;14:04;14:14;14:24;14:44;15:04;15:14;15:24;15:44;16:04;16:14;;16:24;16:44;17:04;17:14;17:24;17:44;18:04;18:14;18:24;18:44;19:04;19:14;19:24;19:44;20:04;20:14;20:24;20:44;21:04;21:14;21:24;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
